10 years,wasteland
r.e.m.,losing my religion
r.e.m.,man on the moon
r.e.m.,orange crush
r.e.m.,radio free europe
r.e.m.,stand
r.e.m.,the one i love
r.e.m.,what's the frequency, kenneth?
radiohead,creep
radiohead,fake plastic trees
radiohead,idioteque
radiohead,karma police
radiohead,no surprises
radiohead,paranoid android
rage against the machine,bulls on parade
rage against the machine,killing in the name
red hot chili peppers,by the way
red hot chili peppers,dani california
red hot chili peppers,give it away
red hot chili peppers,my friends
red hot chili peppers,otherside
red hot chili peppers,scar tissue
red hot chili peppers,soul to squeeze (from "coneheads")
red hot chili peppers,under the bridge
rise against,savior
robyn hitchcock,so you think you're in love
saliva,always
seether,fake it
semisonic,closing time
shinedown,second chance
silverchair,tomorrow
silversun pickups,panic switch
simple minds,see the lights
sinead o'connor,nothing compares 2 u
sinead o'connor,the emperor's new clothes
sinéad o'connor,nothing compares 2 u
siouxsie & the banshees,kiss them for me
siouxsie & the banshees,peek-a-boo
siouxsie & the banshees,the killing jar
siouxsie and the banshees,cities in dust
siouxsie and the banshees,happy house
siouxsie and the banshees,kiss them for me
sisters of mercy,more
smash mouth,walkin' on the sun
social distortion,ball and chain
sonic youth,100%
sonic youth,kool thing
sonic youth,teen age riot
soul asylum,runaway train
soundgarden,black hole sun
soundgarden,burden in my hand
soundgarden,jesus christ pose
soundgarden,rusty cage
spacehog,in the meantime
staind,it's been awhile
staind,so far away
stone sour,through glass
stone temple pilots,big empty
stone temple pilots,interstate love song
stone temple pilots,plush
stone temple pilots,trippin' on a hole in a paper heart
sublime,doin' time
sublime,what i got
suede,metal mickey
suede,the drowners
sugar ray,every morning
sugar ray,fly
sunny day real estate,in circles
suzanne vega,blood makes noise
system of a down,aerials
talking heads,(nothing but) flowers
talking heads,burning down the house
talking heads,once in a lifetime
talking heads,road to nowhere
tears for fears,break it down again
teenage fanclub,the concept
temple of the dog,hunger strike
the b-52's,rock lobster
the b-52s,love shack
the black keys,fever
the black keys,gold on the ceiling
the black keys,little black submarines
the black keys,lonely boy
the black keys,tighten up
the breeders,cannonball
the charlatans,weirdo
the church,metropolis
the church,under the milky way
the cranberries,dreams
the cranberries,linger
the cranberries,salvation
the cranberries,zombie
the cure,boys don't cry
the cure,close to me
the cure,fascination street
the cure,friday i'm in love
the cure,high
the cure,just like heaven
the cure,let's go to bed
the cure,love song
the cure,never enough
the cure,pictures of you
the dirty heads featuring rome,lay me down
the fall,totally wired
the flaming lips,do you realize??
the go-betweens,cattle and cane
the jam,going underground
the jam,that's entertainment
the jesus and mary chain,april skies
the jesus and mary chain,blues from a gun
the jesus and mary chain,far gone and out
the jesus and mary chain,head on
the jesus and mary chain,just like honey
the killers,mr. brightside
the killers,somebody told me
the la's,there she goes
the lemonheads,into your arms
the lumineers,ho hey
the lumineers,ophelia
the neighbourhood,sweater weather
the offspring,come out and play
the offspring,self esteem
the offspring,you're gonna go far kid
the pogues & kirsty maccoll,fairytale of new york
the presidents of the united states of america,lump
the pretenders,back on the chain gang
the pretenders,don't get me wrong
the psychedelic furs,house
