"florence + the machine","no light, no light"
"florence + the machine","rabbit heart (raise it up)"
"florence + the machine","spectrum (say my name)"
"florence + the machine","you've got the love"
"florence + the machine",cosmic love
"florence + the machine",dog days are over
"florence + the machine",shake it out
"florence + the machine",what the water gave me
"florence + the machine",you've got the love
"for king & country",amen
"for king & country",burn the ships
"for king & country",ceasefire
"for king & country",god only knows
"for king & country",run wild
"for king & country",the proof of your love
"maddie & tae",fly
"maddie & tae",girl in a country song
"maddie & tae",shut up and fish
"maddie & tae",smoke
"panic! at the disco",death of a bachelor
"panic! at the disco",high hopes
"panic! at the disco",house of memories
"panic! at the disco",i write sins not tragedies
3 doors down,here without you
3 doors down,when i'm gone
abba,"gimme! gimme! gimme! (a man after midnight)"
abba,"knowing me, knowing yoy"
abba,"money, money, money"
abba,dancing queen
abba,i have a dream
abba,lay all your love over me
abba,mamma mia
abba,sos
abba,super trouper
aerosmith,dream on
aerosmith,janie's got a gun
aerosmith,sweet emotion
aerosmith,what it takes
billy currington,hey girl
billy currington,people are crazy
billy currington,that's how country boys roll
billy joel,we didn't start the fire
blake shelton,god gave me you
bon jovi,livin' on a prayer
bon jovi,wanted dead or alive
bon jovi,you give love a bad name
brad paisley,american saturday night
bryan adams,heaven
bryan adams,run to you
bryan adams,summer of '69
carrie underwood,before he cheats
carrie underwood,blown away
carrie underwood,last name
carrie underwood,undo it
casting crowns,slow fade
casting crowns,until the whole world hears
chicago,hard habit to break
chicago,stay the night
chicago,you're the inspiration
coldplay,clocks
coldplay,orphans
coldplay,paradise
coldplay,the scientist
coldplay,viva la vida
colt ford,working on
crowder,"lift your head weary sinner (chains)"
crowder,ain't no grave
darius rucker,wagon wheel
depeche mode,enjoy the silence
depeche mode,people are people
depeche mode,personal jesus
depeche mode,walking in my shoes
dierks bentley,home
dierks bentley,tip it on back
dire straits,money for nothing
dire straits,walk of life
disturbed,the sound of silence
don henley,all she wants to do is dance
don henley,the boys of summer
dropkick murphys,rose tatoo
duran duran,hungry like the wolf
duran duran,ordinary world (single version)
duran duran,the reflex
